ts,value,theme
1666592697,0,theme-4vdqf
1666592712,5,theme-4vdqf
1666592727,10,theme-4vdqf
1666592742,16,theme-4vdqf
1666592757,20,theme-4vdqf
1666592772,24,theme-4vdqf
1666592787,28,theme-4vdqf
1666592802,29,theme-4vdqf
1666592817,31,theme-4vdqf
1666592832,38,theme-4vdqf
1666592847,40,theme-4vdqf
1666592862,43,theme-4vdqf
1666592877,46,theme-4vdqf
1666592892,52,theme-4vdqf
1666592907,55,theme-4vdqf
1666592922,60,theme-4vdqf
1666592937,62,theme-4vdqf
1666592952,64,theme-4vdqf
1666592967,69,theme-4vdqf
1666592982,78,theme-4vdqf
1666592997,81,theme-4vdqf
1666593012,84,theme-4vdqf
1666593027,86,theme-4vdqf
1666593042,91,theme-4vdqf
1666593057,91,theme-4vdqf
1666593072,97,theme-4vdqf
1666593087,101,theme-4vdqf
1666593102,104,theme-4vdqf
1666593117,112,theme-4vdqf
1666593132,115,theme-4vdqf
1666593147,117,theme-4vdqf
1666593162,124,theme-4vdqf
1666593177,126,theme-4vdqf
1666593192,134,theme-4vdqf
1666593207,137,theme-4vdqf
1666593222,142,theme-4vdqf
1666593237,144,theme-4vdqf
1666593252,148,theme-4vdqf
1666593267,148,theme-4vdqf
1666593282,152,theme-4vdqf
1666593297,155,theme-4vdqf
1666593312,158,theme-4vdqf
1666593327,158,theme-4vdqf
1666593342,158,theme-4vdqf
1666593357,158,theme-4vdqf
1666593372,158,theme-4vdqf
1666593387,158,theme-4vdqf
1666593402,158,theme-4vdqf
1666593417,158,theme-4vdqf
1666593432,158,theme-4vdqf
1666593447,158,theme-4vdqf
1666592682,0,theme-55h5v
1666592697,0,theme-55h5v
1666592712,3,theme-55h5v
1666592727,5,theme-55h5v
1666592742,8,theme-55h5v
1666592757,8,theme-55h5v
1666592772,18,theme-55h5v
1666592787,19,theme-55h5v
1666592802,29,theme-55h5v
1666592817,34,theme-55h5v
1666592832,43,theme-55h5v
1666592847,43,theme-55h5v
1666592862,49,theme-55h5v
1666592877,50,theme-55h5v
1666592892,52,theme-55h5v
1666592907,56,theme-55h5v
1666592922,62,theme-55h5v
1666592937,64,theme-55h5v
1666592952,68,theme-55h5v
1666592967,70,theme-55h5v
1666592982,73,theme-55h5v
1666592997,75,theme-55h5v
1666593012,81,theme-55h5v
1666593027,83,theme-55h5v
1666593042,91,theme-55h5v
1666593057,92,theme-55h5v
1666593072,98,theme-55h5v
1666593087,99,theme-55h5v
1666593102,111,theme-55h5v
1666593117,113,theme-55h5v
1666593132,121,theme-55h5v
1666593147,124,theme-55h5v
1666593162,130,theme-55h5v
1666593177,132,theme-55h5v
1666593192,136,theme-55h5v
1666593207,139,theme-55h5v
1666593222,141,theme-55h5v
1666593237,145,theme-55h5v
1666593252,152,theme-55h5v
1666593267,156,theme-55h5v
1666593282,162,theme-55h5v
1666593297,165,theme-55h5v
1666593312,166,theme-55h5v
1666593327,166,theme-55h5v
1666593342,166,theme-55h5v
1666593357,166,theme-55h5v
1666593372,166,theme-55h5v
1666593387,166,theme-55h5v
1666593402,166,theme-55h5v
1666593417,166,theme-55h5v
1666593432,166,theme-55h5v
1666593447,166,theme-55h5v
1666592682,0,theme-5h9hz
1666592697,0,theme-5h9hz
1666592712,5,theme-5h9hz
1666592727,7,theme-5h9hz
1666592742,13,theme-5h9hz
1666592757,20,theme-5h9hz
1666592772,25,theme-5h9hz
1666592787,30,theme-5h9hz
1666592802,34,theme-5h9hz
1666592817,38,theme-5h9hz
1666592832,45,theme-5h9hz
1666592847,48,theme-5h9hz
