ts,value,theme
1666596724,16,theme-5qltl
1666596739,25,theme-5qltl
1666596754,26,theme-5qltl
1666596769,33,theme-5qltl
1666596784,35,theme-5qltl
1666596799,39,theme-5qltl
1666596814,44,theme-5qltl
1666596829,48,theme-5qltl
1666596844,53,theme-5qltl
1666596859,56,theme-5qltl
1666596874,57,theme-5qltl
1666596889,67,theme-5qltl
1666596904,69,theme-5qltl
1666596919,75,theme-5qltl
1666596934,78,theme-5qltl
1666596949,80,theme-5qltl
1666596964,81,theme-5qltl
1666596979,88,theme-5qltl
1666596994,91,theme-5qltl
1666597009,94,theme-5qltl
1666597024,95,theme-5qltl
1666597039,103,theme-5qltl
1666597054,104,theme-5qltl
1666597069,111,theme-5qltl
1666597084,115,theme-5qltl
1666597099,117,theme-5qltl
1666597114,118,theme-5qltl
1666597129,120,theme-5qltl
1666597144,121,theme-5qltl
1666597159,125,theme-5qltl
1666597174,129,theme-5qltl
1666597189,137,theme-5qltl
1666597204,139,theme-5qltl
1666597219,147,theme-5qltl
1666597234,147,theme-5qltl
1666597249,152,theme-5qltl
1666597264,154,theme-5qltl
1666597279,158,theme-5qltl
1666597294,159,theme-5qltl
1666597309,159,theme-5qltl
1666597324,159,theme-5qltl
1666597339,159,theme-5qltl
1666597354,159,theme-5qltl
1666597369,159,theme-5qltl
1666597384,159,theme-5qltl
1666597399,159,theme-5qltl
1666597414,159,theme-5qltl
1666597429,159,theme-5qltl
1666596664,0,theme-5v2cs
1666596679,0,theme-5v2cs
1666596694,6,theme-5v2cs
1666596709,12,theme-5v2cs
1666596724,16,theme-5v2cs
1666596739,21,theme-5v2cs
1666596754,24,theme-5v2cs
1666596769,25,theme-5v2cs
1666596784,30,theme-5v2cs
1666596799,35,theme-5v2cs
1666596814,38,theme-5v2cs
1666596829,43,theme-5v2cs
1666596844,47,theme-5v2cs
1666596859,52,theme-5v2cs
1666596874,55,theme-5v2cs
1666596889,58,theme-5v2cs
1666596904,61,theme-5v2cs
1666596919,68,theme-5v2cs
1666596934,68,theme-5v2cs
1666596949,76,theme-5v2cs
1666596964,77,theme-5v2cs
1666596979,82,theme-5v2cs
1666596994,84,theme-5v2cs
1666597009,89,theme-5v2cs
1666597024,91,theme-5v2cs
1666597039,98,theme-5v2cs
1666597054,100,theme-5v2cs
1666597069,105,theme-5v2cs
1666597084,105,theme-5v2cs
1666597099,109,theme-5v2cs
1666597114,112,theme-5v2cs
1666597129,124,theme-5v2cs
1666597144,126,theme-5v2cs
1666597159,128,theme-5v2cs
1666597174,130,theme-5v2cs
1666597189,136,theme-5v2cs
1666597204,139,theme-5v2cs
1666597219,144,theme-5v2cs
1666597234,148,theme-5v2cs
1666597249,154,theme-5v2cs
1666597264,156,theme-5v2cs
1666597279,166,theme-5v2cs
1666597294,167,theme-5v2cs
1666597309,167,theme-5v2cs
1666597324,167,theme-5v2cs
1666597339,167,theme-5v2cs
1666597354,167,theme-5v2cs
1666597369,167,theme-5v2cs
1666597384,167,theme-5v2cs
1666597399,167,theme-5v2cs
